分类,音色名称,音色代码,是否可用,支持语言
视频配音,和蔼奶奶,ICL_zh_female_heainainai_tob,√,中文
视频配音,邻居阿姨,ICL_zh_female_linjuayi_tob,√,中文
视频配音,温柔小雅,zh_female_wenrouxiaoya_moon_bigtts,√,中文
视频配音,天才童声,zh_male_tiancaitongsheng_mars_bigtts,√,中文
视频配音,猴哥,zh_male_sunwukong_mars_bigtts,√,中文
视频配音,熊二,zh_male_xionger_mars_bigtts,√,中文
视频配音,佩奇猪,zh_female_peiqi_mars_bigtts,√,中文
视频配音,武则天,zh_female_wuzetian_mars_bigtts,√,中文
视频配音,顾姐,zh_female_gujie_mars_bigtts,√,中文
视频配音,樱桃丸子,zh_female_yingtaowanzi_mars_bigtts,√,中文
视频配音,广告解说,zh_male_chunhui_mars_bigtts,√,中文
视频配音,少儿故事,zh_female_shaoergushi_mars_bigtts,√,中文
视频配音,四郎,zh_male_silang_mars_bigtts,√,中文
视频配音,磁性解说男声/Morgan,zh_male_jieshuonansheng_mars_bigtts,√,"中文、美式英语"
视频配音,鸡汤妹妹/Hope,zh_female_jitangmeimei_mars_bigtts,√,"中文、美式英语"
视频配音,贴心女声/Candy,zh_female_tiexinnvsheng_mars_bigtts,√,"中文、美式英语"
视频配音,俏皮女声,zh_female_qiaopinvsheng_mars_bigtts,√,中文
视频配音,萌丫头/Cutey,zh_female_mengyatou_mars_bigtts,√,"中文、美式英语"
视频配音,懒音绵宝,zh_male_lanxiaoyang_mars_bigtts,√,中文
视频配音,亮嗓萌仔,zh_male_dongmanhaimian_mars_bigtts,√,中文
有声阅读,悬疑解说,zh_male_changtianyi_mars_bigtts,√,中文
有声阅读,儒雅青年,zh_male_ruyaqingnian_mars_bigtts,√,中文
有声阅读,霸气青叔,zh_male_baqiqingshu_mars_bigtts,√,中文
有声阅读,擎苍,zh_male_qingcang_mars_bigtts,√,中文
有声阅读,活力小哥,zh_male_yangguangqingnian_mars_bigtts,√,中文
有声阅读,古风少御,zh_female_gufengshaoyu_mars_bigtts,√,中文
有声阅读,温柔淑女,zh_female_wenroushunv_mars_bigtts,√,中文
有声阅读,反卷青年,zh_male_fanjuanqingnian_mars_bigtts,√,中文